wbs id,task name,level,parent id,start date,end date,duration,progress,planned,owner,cost estimate,priority,weight,status,deliverable,acceptance criteria,review date
D01,디자인,1,,2025-11-03,2025-12-07,35,21,26,TBD,16800000,Medium,15.51,지연,디자인 결과물,디자인 결과물이 요구 기준을 충족함,2025-12-08
D01-01,UX 리서치 및 요구사항 정의,2,D01,2025-11-03,2025-11-09,7,53,100,TBD,3600000,Medium,3.32,지연,UX 리서치 및 요구사항 정의 결과물,UX 리서치 및 요구사항 정의 결과물이 요구 기준을 충족함,2025-11-10
D01-01-01,비즈니스 목표/페르소나 정리,3,D01-01,2025-11-03,2025-11-05,3,70,100,TBD,1200000,Medium,1.11,지연,비즈니스 목표/페르소나 정리 결과물,비즈니스 목표/페르소나 정리 결과물이 요구 기준을 충족함,2025-11-06
D01-01-01-01,기존 레퍼런스 앱 조사,4,D01-01-01,2025-11-03,2025-11-04,2,100,100,TBD,600000,Medium,0.56,지연,기존 레퍼런스 앱 조사 결과물,기존 레퍼런스 앱 조사 결과물이 요구 기준을 충족함,2025-11-05
D01-01-01-02,주요 유저 시나리오 정의,4,D01-01-01,2025-11-04,2025-11-05,2,40,100,TBD,600000,Medium,0.55,지연,주요 유저 시나리오 정의 결과물,주요 유저 시나리오 정의 결과물이 요구 기준을 충족함,2025-11-06
D01-01-02,"핵심 플로우 정의 (온보딩, 홈, 상세, 마이)",3,D01-01,2025-11-05,2025-11-07,3,45,100,TBD,1200000,Medium,1.11,지연,"핵심 플로우 정의 (온보딩, 홈, 상세, 마이) 결과물","핵심 플로우 정의 (온보딩, 홈, 상세, 마이) 결과물이 요구 기준을 충족함",2025-11-08
D01-01-02-01,온보딩 플로우정리,4,D01-01-02,2025-11-05,2025-11-06,2,50,100,TBD,600000,Medium,0.56,지연,온보딩 플로우정리 결과물,온보딩 플로우정리 결과물이 요구 기준을 충족함,2025-11-07
D01-01-02-02,컨텐츠 탐색/검색 플로우 정리,4,D01-01-02,2025-11-06,2025-11-07,2,40,100,TBD,600000,Medium,0.55,지연,컨텐츠 탐색/검색 플로우 정리 결과물,컨텐츠 탐색/검색 플로우 정리 결과물이 요구 기준을 충족함,2025-11-08
D01-01-03,정보구조(IA) 초안,3,D01-01,2025-11-07,2025-11-09,3,45,100,TBD,1200000,Medium,1.1,지연,정보구조(IA) 초안 결과물,정보구조(IA) 초안 결과물이 요구 기준을 충족함,2025-11-10
D01-01-03-01,내비게이션 구조 정의,4,D01-01-03,2025-11-07,2025-11-08,2,30,100,TBD,600000,Medium,0.55,지연,내비게이션 구조 정의 결과물,내비게이션 구조 정의 결과물이 요구 기준을 충족함,2025-11-09
D01-01-03-02,메뉴/탭 구성안,4,D01-01-03,2025-11-08,2025-11-09,2,60,100,TBD,600000,Medium,0.55,지연,메뉴/탭 구성안 결과물,메뉴/탭 구성안 결과물이 요구 기준을 충족함,2025-11-10
D01-02,와이어프레임 제작,2,D01,2025-11-09,2025-11-17,9,24,33,TBD,3600000,Medium,3.32,지연,와이어프레임 제작 결과물,와이어프레임 제작 결과물이 요구 기준을 충족함,2025-11-18
D01-02-01,핵심 화면 와이어프레임,3,D01-02,2025-11-09,2025-11-13,5,40,60,TBD,1800000,Medium,1.66,지연,핵심 화면 와이어프레임 결과물,핵심 화면 와이어프레임 결과물이 요구 기준을 충족함,2025-11-14
D01-02-01-01,홈/피드 화면,4,D01-02-01,2025-11-09,2025-11-11,3,50,100,TBD,900000,Medium,0.83,지연,홈/피드 화면 결과물,홈/피드 화면 결과물이 요구 기준을 충족함,2025-11-12
D01-02-01-02,상세/콘텐츠 화면설계,4,D01-02-01,2025-11-11,2025-11-13,3,30,33,TBD,900000,Medium,0.83,지연,상세/콘텐츠 화면설계 결과물,상세/콘텐츠 화면설계 결과물이 요구 기준을 충족함,2025-11-14
D01-02-02,"보조 기능 화면 (검색, 설정, 알림)",3,D01-02,2025-11-13,2025-11-17,5,8,0,TBD,1800000,Medium,1.66,작업중,"보조 기능 화면 (검색, 설정, 알림) 결과물","보조 기능 화면 (검색, 설정, 알림) 결과물이 요구 기준을 충족함",2025-11-18
D01-02-02-01,검색 화면 와이어프레임,4,D01-02-02,2025-11-13,2025-11-15,3,10,0,TBD,900000,Medium,0.83,작업중,검색 화면 와이어프레임 결과물,검색 화면 와이어프레임 결과물이 요구 기준을 충족함,2025-11-16
D01-02-02-02,설정/프로필 화면 와이어,4,D01-02-02,2025-11-15,2025-11-17,3,5,0,TBD,900000,Medium,0.83,작업중,설정/프로필 화면 와이어 결과물,설정/프로필 화면 와이어 결과물이 요구 기준을 충족함,2025-11-18
D01-03,UI 키트/디자인 시스템,2,D01,2025-11-17,2025-11-25,9,9,0,TBD,4200000,Medium,3.88,작업중,UI 키트/디자인 시스템 결과물,UI 키트/디자인 시스템 결과물이 요구 기준을 충족함,2025-11-26
D01-03-01,컬러/타이포 스타일가이드,3,D01-03,2025-11-17,2025-11-19,3,20,0,TBD,1200000,Medium,1.11,작업중,컬러/타이포 스타일가이드 결과물,컬러/타이포 스타일가이드 결과물이 요구 기준을 충족함,2025-11-20
D01-03-01-01,라이트/다크 테마 정의,4,D01-03-01,2025-11-17,2025-11-18,2,20,0,TBD,600000,Medium,0.56,작업중,라이트/다크 테마 정의 결과물,라이트/다크 테마 정의 결과물이 요구 기준을 충족함,2025-11-19
D01-03-01-02,기본 타이포 스케일 정의,4,D01-03-01,2025-11-18,2025-11-19,2,20,0,TBD,600000,Medium,0.55,작업중,기본 타이포 스케일 정의 결과물,기본 타이포 스케일 정의 결과물이 요구 기준을 충족함,2025-11-20
D01-03-02,"컴포넌트 정의 (버튼, 카드, 리스트)",3,D01-03,2025-11-19,2025-11-23,5,8,0,TBD,1800000,Medium,1.66,작업중,"컴포넌트 정의 (버튼, 카드, 리스트) 결과물","컴포넌트 정의 (버튼, 카드, 리스트) 결과물이 요구 기준을 충족함",2025-11-24
D01-03-02-01,버튼/폼 요소 정리,4,D01-03-02,2025-11-19,2025-11-21,3,10,0,TBD,900000,Medium,0.83,작업중,버튼/폼 요소 정리 결과물,버튼/폼 요소 정리 결과물이 요구 기준을 충족함,2025-11-22
D01-03-02-02,카드/리스트/모달 컴포넌트,4,D01-03-02,2025-11-21,2025-11-23,3,5,0,TBD,900000,Medium,0.83,작업중,카드/리스트/모달 컴포넌트 결과물,카드/리스트/모달 컴포넌트 결과물이 요구 기준을 충족함,2025-11-24
D01-03-03,디자인 핸드오프 파일 정리,3,D01-03,2025-11-23,2025-11-25,3,0,0,TBD,1200000,Medium,1.11,대기중,디자인 핸드오프 파일 정리 결과물,디자인 핸드오프 파일 정리 결과물이 요구 기준을 충족함,2025-11-26
D01-03-03-01,Zeplin/Figma 스펙 정리,4,D01-03-03,2025-11-23,2025-11-24,2,0,0,TBD,600000,Medium,0.56,대기중,Zeplin/Figma 스펙 정리 결과물,Zeplin/Figma 스펙 정리 결과물이 요구 기준을 충족함,2025-11-25
D01-03-03-02,FE용 어노테이션 추가,4,D01-03-03,2025-11-24,2025-11-25,2,0,0,TBD,600000,Medium,0.55,대기중,FE용 어노테이션 추가 결과물,FE용 어노테이션 추가 결과물이 요구 기준을 충족함,2025-11-26
D01-04,프로토타입 및 사용자 피드백,2,D01,2025-11-25,2025-12-07,13,7,0,TBD,5400000,Medium,4.99,작업중,프로토타입 및 사용자 피드백 결과물,프로토타입 및 사용자 피드백 결과물이 요구 기준을 충족함,2025-12-08
D01-04-01,인터랙션 프로토타입 작성,3,D01-04,2025-11-25,2025-11-30,6,14,0,TBD,2100000,Medium,1.94,작업중,인터랙션 프로토타입 작성 결과물,인터랙션 프로토타입 작성 결과물이 요구 기준을 충족함,2025-12-01
D01-04-01-01,핵심 플로우 프로토타입,4,D01-04-01,2025-11-25,2025-11-28,4,20,0,TBD,1200000,Medium,1.11,작업중,핵심 플로우 프로토타입 결과물,핵심 플로우 프로토타입 결과물이 요구 기준을 충족함,2025-11-29
D01-04-01-02,에러/엣지케이스 프로토타입,4,D01-04-01,2025-11-28,2025-11-30,3,5,0,TBD,900000,Medium,0.83,작업중,에러/엣지케이스 프로토타입 결과물,에러/엣지케이스 프로토타입 결과물이 요구 기준을 충족함,2025-12-01
D01-04-02,내부 리뷰 및 수정,3,D01-04,2025-11-30,2025-12-03,4,4,0,TBD,1500000,Medium,1.39,작업중,내부 리뷰 및 수정 결과물,내부 리뷰 및 수정 결과물이 요구 기준을 충족함,2025-12-04
D01-04-02-01,디자인 리뷰 미팅,4,D01-04-02,2025-11-30,2025-12-01,2,10,0,TBD,600000,Medium,0.56,작업중,디자인 리뷰 미팅 결과물,디자인 리뷰 미팅 결과물이 요구 기준을 충족함,2025-12-02
