Task ID,Task name,level,parent ID,Start Date,End Date,Duration,Progress,Owner,Cost Estimate,Priority,Weight,Status,Deliverable,Acceptance Criteria,Review Date
D01,디자인,1,,2025-11-03,2025-12-07,34,35,TBD,0,Medium,1,Not Started,,,
D01-01,UX 리서치 및 요구사항 정의,2,1,2025-11-03,2025-11-09,6,40,TBD,0,Medium,1,Not Started,,,
D01-01-01,비즈니스 목표/페르소나 정리,3,1.1,2025-11-03,2025-11-05,2,60,TBD,0,Medium,1,Not Started,,,
D01-01-01-01,기존 레퍼런스 앱 조사,4,1.1.1,2025-11-03,2025-11-04,1,80,TBD,0,Medium,1,Not Started,,,
D01-01-01-02,주요 유저 시나리오 정의,4,1.1.1,2025-11-04,2025-11-05,1,40,TBD,0,Medium,1,Not Started,,,
D01-01-02,"핵심 플로우 정의 (온보딩, 홈, 상세, 마이)",3,1.1,2025-11-05,2025-11-07,2,50,TBD,0,Medium,1,Not Started,,,
D01-01-02-01,온보딩 플로우 정리,4,1.1.2,2025-11-05,2025-11-06,1,50,TBD,0,Medium,1,Not Started,,,
D01-01-02-02,컨텐츠 탐색/검색 플로우 정리,4,1.1.2,2025-11-06,2025-11-07,1,40,TBD,0,Medium,1,Not Started,,,
D01-01-03,정보구조(IA) 초안,3,1.1,2025-11-07,2025-11-09,2,20,TBD,0,Medium,1,Not Started,,,
D01-01-03-01,네비게이션 구조 정의,4,1.1.3,2025-11-07,2025-11-08,1,30,TBD,0,Medium,1,Not Started,,,
D01-01-03-02,메뉴/탭 구성안 작성,4,1.1.3,2025-11-08,2025-11-09,1,10,TBD,0,Medium,1,Not Started,,,
D01-02,와이어프레임 제작,2,1,2025-11-09,2025-11-17,8,30,TBD,0,Medium,1,Not Started,,,
D01-02-01,핵심 화면 와이어프레임,3,1.2,2025-11-09,2025-11-13,4,40,TBD,0,Medium,1,Not Started,,,
D01-02-01-01,홈/피드 화면,4,1.2.1,2025-11-09,2025-11-11,2,50,TBD,0,Medium,1,Not Started,,,
D01-02-01-02,상세/콘텐츠 화면,4,1.2.1,2025-11-11,2025-11-13,2,30,TBD,0,Medium,1,Not Started,,,
D01-02-02,"보조 기능 화면 (검색, 설정, 알림)",3,1.2,2025-11-13,2025-11-17,4,10,TBD,0,Medium,1,Not Started,,,
D01-02-02-01,검색 화면 와이어,4,1.2.2,2025-11-13,2025-11-15,2,10,TBD,0,Medium,1,Not Started,,,
D01-02-02-02,설정/프로필 화면 와이어,4,1.2.2,2025-11-15,2025-11-17,2,5,TBD,0,Medium,1,Not Started,,,
D01-03,UI 키트/디자인 시스템,2,1,2025-11-17,2025-11-25,8,20,TBD,0,Medium,1,Not Started,,,
D01-03-01,컬러/타이포 스타일가이드,3,1.3,2025-11-17,2025-11-19,2,30,TBD,0,Medium,1,Not Started,,,
D01-03-01-01,라이트/다크 테마 정의,4,1.3.1,2025-11-17,2025-11-18,1,30,TBD,0,Medium,1,Not Started,,,
D01-03-01-02,기본 타이포 스케일 정의,4,1.3.1,2025-11-18,2025-11-19,1,20,TBD,0,Medium,1,Not Started,,,
D01-03-02,"컴포넌트 정의 (버튼, 카드, 리스트)",3,1.3,2025-11-19,2025-11-23,4,10,TBD,0,Medium,1,Not Started,,,
D01-03-02-01,버튼/폼 요소 정리,4,1.3.2,2025-11-19,2025-11-21,2,10,TBD,0,Medium,1,Not Started,,,
D01-03-02-02,카드/리스트/모달 컴포넌트,4,1.3.2,2025-11-21,2025-11-23,2,5,TBD,0,Medium,1,Not Started,,,
D01-03-03,디자인 핸드오프 파일 정리,3,1.3,2025-11-23,2025-11-25,2,0,TBD,0,Medium,1,Not Started,,,
D01-03-03-01,Zeplin/Figma 스펙 정리,4,1.3.3,2025-11-23,2025-11-24,1,0,TBD,0,Medium,1,Not Started,,,
D01-03-03-02,FE용 어노테이션 추가,4,1.3.3,2025-11-24,2025-11-25,1,0,TBD,0,Medium,1,Not Started,,,
D01-04,프로토타입 및 사용자 피드백,2,1,2025-11-25,2025-12-07,12,10,TBD,0,Medium,1,Not Started,,,
D01-04-01,인터랙션 프로토타입 작성,3,1.4,2025-11-25,2025-11-30,5,15,TBD,0,Medium,1,Not Started,,,
D01-04-01-01,핵심 플로우 프로토타입,4,1.4.1,2025-11-25,2025-11-28,3,20,TBD,0,Medium,1,Not Started,,,
D01-04-01-02,에러/엣지케이스 프로토타입,4,1.4.1,2025-11-28,2025-11-30,2,5,TBD,0,Medium,1,Not Started,,,
D01-04-02,내부 리뷰 및 수정,3,1.4,2025-11-30,2025-12-03,3,5,TBD,0,Medium,1,Not Started,,,
D01-04-02-01,디자인 리뷰 미팅,4,1.4.2,2025-11-30,2025-12-01,1,10,TBD,0,Medium,1,Not Started,,,
D01-04-02-02,수정안 반영,4,1.4.2,2025-12-01,2025-12-03,2,0,TBD,0,Medium,1,Not Started,,,
D01-04-03,1차 유저 테스트,3,1.4,2025-12-03,2025-12-07,4,0,TBD,0,Medium,1,Not Started,,,
D01-04-03-01,테스트 시나리오 작성,4,1.4.3,2025-12-03,2025-12-04,1,0,TBD,0,Medium,1,Not Started,,,
D01-04-03-02,결과 정리 및 우선순위화,4,1.4.3,2025-12-04,2025-12-07,3,0,TBD,0,Medium,1,Not Started,,,
F01,프론트엔드(모바일 앱),1,,2025-11-13,2026-02-16,95,25,TBD,0,Medium,1,Not Started,,,
F01-01,프로젝트 셋업,2,2,2025-11-13,2025-11-16,3,80,TBD,0,Medium,1,Not Started,,,
F01-01-01,프로젝트 구조/패키지 관리,3,2.1,2025-11-13,2025-11-14,1,90,TBD,0,Medium,1,Not Started,,,
F01-01-01-01,React Native/Flutter 초기화,4,2.1.1,2025-11-13,2025-11-13,0,100,TBD,0,Medium,1,Not Started,,,
F01-01-01-02,ESLint/포맷터/CI 스크립트 추가,4,2.1.1,2025-11-13,2025-11-14,1,80,TBD,0,Medium,1,Not Started,,,
F01-01-02,디자인 시스템 연동,3,2.1,2025-11-14,2025-11-16,2,60,TBD,0,Medium,1,Not Started,,,
